iter	Passed	Remaining
0	175	175065
1	178	89197
2	181	60368
3	184	45986
4	188	37416
5	191	31665
6	193	27510
7	197	24439
8	199	22012
9	202	20057
10	205	18474
11	208	17150
12	211	16060
13	214	15086
14	216	14244
15	219	13504
16	222	12851
17	224	12274
18	227	11757
19	229	11224
20	231	10805
21	234	10431
22	237	10082
23	240	9760
24	242	9465
25	245	9194
26	248	8941
27	251	8716
28	254	8509
29	256	8308
30	259	8120
31	262	7949
32	265	7787
33	267	7597
34	270	7445
35	272	7303
36	275	7170
37	278	7041
38	280	6914
39	283	6802
40	286	6696
41	288	6572
42	291	6477
43	293	6384
44	296	6290
45	299	6204
46	301	6121
47	304	6037
48	307	5961
49	309	5887
50	312	5813
51	314	5740
52	317	5677
53	320	5614
54	321	5529
55	324	5471
56	327	5416
57	330	5359
58	332	5302
59	334	5247
60	337	5195
61	340	5148
62	343	5104
63	346	5061
64	348	5017
65	351	4978
66	354	4938
67	357	4893
68	359	4856
69	362	4813
70	366	4793
71	369	4761
72	371	4721
73	374	4685
74	376	4648
75	379	4608
76	381	4571
77	383	4538
78	385	4491
79	386	4447
80	389	4417
81	390	4376
82	393	4349
83	396	4323
84	399	4299
85	401	4270
86	404	4245
87	406	4213
88	408	4181
89	411	4158
90	414	4137
91	416	4112
92	419	4091
93	422	4071
94	425	4050
95	428	4030
96	429	3998
97	431	3976
98	434	3955
99	437	3935
100	439	3915
101	442	3894
102	445	3876
103	447	3859
104	450	3842
105	453	3825
106	456	3807
107	459	3792
108	461	3774
109	464	3759
110	466	3736
111	469	3720
112	472	3705
113	475	3693
114	478	3679
115	480	3665
116	483	3647
117	485	3625
118	486	3603
119	489	3586
120	491	3569
121	493	3548
122	494	3526
123	496	3509
124	498	3490
125	500	3473
126	503	3461
127	505	3446
128	508	3434
129	511	3424
130	514	3413
131	517	3399
132	519	3383
133	521	3371
134	524	3359
135	526	3346
136	529	3335
137	531	3320
138	534	3309
139	536	3296
140	539	3283
141	541	3269
142	543	3254
143	545	3242
144	548	3232
145	551	3223
146	553	3213
147	556	3204
148	559	3192
149	562	3188
150	565	3179
151	567	3167
152	570	3158
153	572	3143
154	574	3132
155	576	3121
156	579	3110
157	581	3096
158	583	3085
159	585	3072
160	587	3059
161	589	3049
162	592	3041
163	594	3030
164	597	3022
165	598	3007
166	600	2996
167	602	2985
168	605	2977
169	607	2968
170	610	2961
171	613	2953
172	615	2943
173	617	2931
174	620	2923
175	622	2915
176	624	2905
177	627	2900
178	630	2894
179	633	2885
180	635	2877
181	638	2870
182	641	2865
183	644	2858
184	647	2851
185	649	2843
186	652	2835
187	653	2824
188	656	2818
189	659	2810
190	662	2804
191	664	2797
192	667	2789
193	669	2781
194	672	2775
195	675	2769
196	676	2757
197	679	2751
198	681	2743
199	684	2736
200	687	2733
201	690	2726
202	692	2719
203	695	2712
204	697	2704
205	698	2692
206	701	2685
207	702	2674
208	704	2664
209	706	2656
210	708	2648
211	710	2639
212	712	2633
213	714	2624
214	717	2620
215	720	2614
216	722	2606
217	725	2600
218	727	2594
219	730	2588
220	733	2584
221	736	2580
222	738	2574
223	741	2567
224	744	2562
225	746	2557
226	750	2554
227	752	2547
228	753	2537
229	756	2532
230	758	2524
231	761	2519
232	764	2515
233	766	2508
234	768	2500
235	769	2492
236	772	2487
237	775	2481
238	777	2476
239	780	2471
240	783	2466
241	784	2458
242	787	2451
243	789	2447
244	792	2441
245	794	2436
246	797	2431
247	800	2426
248	801	2418
249	804	2413
250	807	2408
251	809	2403
252	812	2398
253	814	2393
254	817	2387
255	819	2382
256	822	2378
257	825	2373
258	828	2369
259	829	2362
260	832	2357
261	835	2353
262	838	2349
263	840	2344
264	843	2339
265	845	2333
266	847	2327
267	849	2320
268	852	2315
269	855	2312
270	857	2307
271	860	2303
272	863	2298
273	865	2293
274	868	2290
275	870	2284
276	872	2276
277	874	2271
278	877	2267
279	880	2263
280	882	2259
281	885	2255
282	888	2251
283	891	2247
284	893	2241
285	896	2237
286	898	2233
287	901	2229
288	903	2223
289	905	2217
290	907	2211
291	910	2206
292	912	2202
293	915	2198
294	918	2194
295	921	2191
296	924	2187
297	927	2183
298	929	2180
299	932	2176
300	935	2172
301	938	2169
302	942	2167
303	944	2162
304	946	2156
305	948	2151
306	950	2145
307	952	2139
308	953	2133
309	956	2128
310	958	2124
311	961	2119
312	964	2116
313	966	2112
314	968	2105
315	970	2101
316	973	2096
317	975	2092
318	977	2087
319	979	2082
320	982	2077
321	984	2071
322	986	2067
323	989	2064
324	992	2060
325	994	2057
326	997	2053
327	1000	2049
328	1003	2046
329	1005	2042
330	1008	2038
331	1010	2033
332	1012	2027
333	1013	2020
334	1016	2017
335	1018	2012
336	1021	2009
337	1024	2005
338	1025	2000
339	1028	1996
340	1030	1991
341	1032	1987
342	1035	1983
343	1037	1977
344	1039	1974
345	1042	1969
346	1043	1964
347	1046	1960
348	1049	1957
349	1051	1953
350	1054	1950
351	1056	1944
352	1058	1939
353	1060	1935
354	1063	1932
355	1066	1928
356	1068	1924
357	1071	1921
358	1074	1917
359	1075	1911
360	1078	1908
361	1080	1905
362	1082	1899
363	1085	1896
364	1087	1892
365	1089	1887
366	1092	1883
367	1094	1879
368	1096	1875
369	1099	1872
370	1101	1867
371	1104	1864
372	1106	1859
373	1108	1855
374	1111	1852
375	1113	1847
376	1115	1843
377	1117	1839
378	1120	1835
379	1122	1830
380	1125	1827
381	1127	1823
382	1130	1820
383	1134	1819
384	1136	1815
385	1138	1811
386	1141	1807
387	1143	1803
388	1145	1799
389	1148	1795
390	1151	1792
391	1152	1787
392	1154	1783
393	1156	1778
394	1158	1774
395	1161	1771
396	1164	1768
397	1166	1764
398	1168	1760
399	1171	1757
400	1174	1754
401	1176	1750
402	1178	1746
403	1181	1742
404	1183	1738
405	1185	1734
406	1188	1731
407	1190	1727
408	1192	1723
409	1195	1720
410	1197	1715
411	1199	1712
412	1202	1708
413	1205	1705
414	1208	1702
415	1210	1699
416	1213	1695
417	1214	1691
418	1217	1687
419	1219	1684
420	1222	1681
421	1225	1678
422	1227	1674
423	1230	1671
424	1233	1668
425	1235	1665
426	1238	1661
427	1241	1658
428	1243	1655
429	1245	1651
430	1248	1648
431	1251	1644
432	1253	1642
433	1256	1638
434	1259	1635
435	1261	1631
436	1264	1628
437	1266	1625
438	1269	1622
439	1272	1619
440	1274	1616
441	1277	1612
442	1279	1609
443	1282	1606
444	1285	1603
445	1288	1599
446	1290	1596
447	1292	1592
448	1295	1589
449	1298	1586
450	1300	1583
451	1303	1580
452	1305	1576
453	1308	1573
454	1311	1570
455	1313	1567
456	1316	1564
457	1319	1561
458	1322	1558
459	1325	1556
460	1327	1552
461	1330	1549
462	1332	1545
463	1335	1543
464	1337	1539
465	1340	1535
466	1342	1532
467	1345	1529
468	1348	1526
469	1351	1523
470	1353	1519
471	1355	1516
472	1358	1513
473	1361	1510
474	1364	1507
475	1366	1504
476	1369	1501
477	1371	1498
478	1374	1494
479	1376	1491
480	1379	1488
481	1381	1485
482	1384	1482
483	1387	1479
484	1390	1476
485	1392	1472
486	1395	1469
487	1397	1466
488	1400	1463
489	1402	1459
490	1405	1456
491	1407	1453
492	1410	1450
493	1413	1447
494	1415	1444
495	1417	1440
496	1420	1437
497	1422	1434
498	1425	1431
499	1428	1428
500	1431	1425
501	1433	1422
502	1436	1419
503	1439	1416
504	1441	1413
505	1444	1410
506	1446	1406
507	1448	1402
508	1450	1399
509	1452	1395
510	1454	1391
511	1457	1388
512	1459	1385
513	1461	1382
514	1464	1379
515	1467	1376
516	1469	1373
517	1472	1369
518	1475	1367
519	1477	1363
520	1479	1360
521	1483	1358
522	1485	1354
523	1487	1351
524	1490	1348
525	1492	1345
526	1494	1341
527	1497	1338
528	1499	1335
529	1501	1331
530	1503	1328
531	1505	1324
532	1507	1321
533	1510	1318
534	1512	1314
535	1515	1312
536	1518	1308
537	1521	1306
538	1524	1303
539	1526	1300
540	1527	1296
541	1529	1292
542	1531	1288
543	1533	1285
544	1535	1281
545	1537	1278
546	1538	1274
547	1539	1270
548	1542	1267
549	1545	1264
550	1547	1261
551	1550	1258
552	1552	1254
553	1554	1251
554	1555	1247
555	1557	1243
556	1559	1240
557	1562	1237
558	1565	1234
559	1567	1231
560	1569	1228
561	1570	1224
562	1572	1220
563	1575	1217
564	1577	1214
565	1580	1212
566	1582	1208
567	1584	1205
568	1586	1201
569	1587	1197
570	1589	1193
571	1591	1190
572	1593	1187
573	1595	1184
574	1598	1181
575	1600	1177
576	1602	1174
577	1604	1171
578	1606	1168
579	1609	1165
580	1612	1162
581	1614	1159
582	1615	1155
583	1618	1152
584	1621	1149
585	1623	1147
586	1625	1143
587	1627	1140
588	1629	1137
589	1631	1133
590	1633	1130
591	1636	1127
592	1637	1124
593	1640	1121
594	1643	1118
595	1644	1115
596	1646	1111
597	1648	1108
598	1650	1105
599	1653	1102
600	1655	1099
601	1658	1096
602	1660	1093
603	1662	1090
604	1664	1086
605	1666	1083
606	1668	1080
607	1671	1077
608	1673	1074
609	1675	1071
610	1676	1067
611	1679	1064
612	1681	1061
613	1683	1058
614	1685	1055
615	1687	1052
616	1690	1049
617	1691	1045
618	1694	1043
619	1697	1040
620	1699	1037
621	1701	1034
622	1703	1030
623	1706	1028
624	1708	1025
625	1710	1022
626	1713	1019
627	1715	1016
628	1718	1013
629	1720	1010
630	1721	1006
631	1723	1003
632	1725	1000
633	1728	997
634	1729	994
635	1732	991
636	1734	988
637	1736	985
638	1739	982
639	1742	980
640	1745	977
641	1747	974
642	1750	971
643	1752	968
644	1753	965
645	1756	962
646	1759	959
647	1761	957
648	1764	954
649	1767	951
650	1768	948
651	1770	945
652	1773	942
653	1775	939
654	1778	936
655	1780	933
656	1782	930
657	1784	927
658	1786	924
659	1788	921
660	1791	918
661	1793	915
662	1795	912
663	1797	909
664	1798	906
665	1800	902
666	1802	899
667	1805	897
668	1807	894
669	1810	891
670	1812	888
671	1814	885
672	1817	882
673	1819	880
674	1822	877
675	1825	874
676	1827	871
677	1829	868
678	1830	865
679	1833	862
680	1835	859
681	1838	857
682	1840	854
683	1842	851
684	1843	847
685	1845	844
686	1847	841
687	1849	838
688	1851	835
689	1854	832
690	1856	830
691	1858	827
692	1859	823
693	1861	820
694	1863	817
695	1865	814
696	1867	811
697	1869	808
698	1871	805
699	1872	802
700	1874	799
701	1876	796
702	1879	793
703	1881	791
704	1884	788
705	1886	785
706	1888	782
707	1890	779
708	1892	776
709	1894	773
710	1897	771
711	1899	768
712	1901	765
713	1903	762
714	1906	759
715	1907	756
716	1909	753
717	1911	750
718	1913	747
719	1915	744
720	1917	741
721	1919	738
722	1920	735
723	1921	732
724	1923	729
725	1926	727
726	1929	724
727	1932	721
728	1934	719
729	1935	715
730	1937	712
731	1939	710
732	1942	707
733	1945	704
734	1947	702
735	1949	699
736	1951	696
737	1953	693
738	1955	690
739	1958	688
740	1961	685
741	1963	682
742	1964	679
743	1966	676
744	1968	673
745	1970	671
746	1973	668
747	1975	665
748	1978	663
749	1980	660
750	1998	662
751	1999	659
752	2001	656
753	2004	653
754	2007	651
755	2010	648
756	2012	645
757	2014	643
758	2016	640
759	2019	637
760	2021	634
761	2024	632
762	2026	629
763	2028	626
764	2030	623
765	2033	621
766	2035	618
767	2038	615
768	2041	613
769	2042	610
770	2043	607
771	2045	604
772	2048	601
773	2050	598
774	2053	596
775	2055	593
776	2056	590
777	2058	587
778	2060	584
779	2061	581
780	2064	578
781	2066	576
782	2069	573
783	2071	570
784	2072	567
785	2074	564
786	2075	561
787	2078	559
788	2080	556
789	2083	553
790	2085	551
791	2087	548
792	2089	545
793	2091	542
794	2093	539
795	2096	537
796	2099	534
797	2102	532
798	2105	529
799	2107	526
800	2110	524
801	2113	521
802	2116	519
803	2118	516
804	2120	513
805	2122	510
806	2124	508
807	2127	505
808	2129	502
809	2131	500
810	2134	497
811	2136	494
812	2139	492
813	2142	489
814	2144	486
815	2147	484
816	2149	481
817	2151	478
818	2152	475
819	2155	473
820	2158	470
821	2160	467
822	2163	465
823	2164	462
824	2166	459
825	2168	456
826	2171	454
827	2174	451
828	2176	449
829	2179	446
830	2181	443
831	2183	440
832	2185	438
833	2188	435
834	2191	432
835	2193	430
836	2196	427
837	2197	424
838	2199	422
839	2201	419
840	2204	416
841	2207	414
842	2209	411
843	2211	408
844	2213	406
845	2215	403
846	2218	400
847	2220	398
848	2223	395
849	2226	392
850	2227	390
851	2229	387
852	2232	384
853	2235	382
854	2237	379
855	2240	376
856	2242	374
857	2244	371
858	2246	368
859	2248	366
860	2251	363
861	2253	360
862	2256	358
863	2258	355
864	2260	352
865	2262	350
866	2265	347
867	2267	344
868	2270	342
869	2272	339
870	2274	336
871	2277	334
872	2279	331
873	2282	329
874	2285	326
875	2287	323
876	2290	321
877	2294	318
878	2297	316
879	2298	313
880	2300	310
881	2302	308
882	2304	305
883	2305	302
884	2308	299
885	2310	297
886	2311	294
887	2314	291
888	2317	289
889	2318	286
890	2320	283
891	2323	281
892	2325	278
893	2328	276
894	2330	273
895	2332	270
896	2334	268
897	2336	265
898	2338	262
899	2341	260
900	2343	257
901	2346	254
902	2349	252
903	2351	249
904	2354	247
905	2356	244
906	2358	241
907	2361	239
908	2363	236
909	2365	233
910	2368	231
911	2371	228
912	2373	226
913	2376	223
914	2379	221
915	2380	218
916	2383	215
917	2386	213
918	2388	210
919	2391	207
920	2394	205
921	2395	202
922	2397	199
923	2400	197
924	2401	194
925	2404	192
926	2406	189
927	2408	186
928	2410	184
929	2412	181
930	2414	178
931	2417	176
932	2420	173
933	2422	171
934	2424	168
935	2426	165
936	2428	163
937	2431	160
938	2434	158
939	2437	155
940	2440	152
941	2442	150
942	2444	147
943	2446	145
944	2449	142
945	2452	140
946	2455	137
947	2457	134
948	2458	132
949	2460	129
950	2462	126
951	2464	124
952	2466	121
953	2470	119
954	2472	116
955	2474	113
956	2477	111
957	2480	108
958	2483	106
959	2486	103
960	2488	100
961	2490	98
962	2492	95
963	2493	93
964	2495	90
965	2497	87
966	2500	85
967	2501	82
968	2503	80
969	2505	77
970	2508	74
971	2511	72
972	2514	69
973	2517	67
974	2519	64
975	2521	62
976	2524	59
977	2527	56
978	2528	54
979	2531	51
980	2534	49
